,Population ,Global Gender Gap Ranking 2018,FIFA WF Ranking 2019,Female players playing organized football,licesned coaches,licensed referees,Women's soccer strategy? ,Mixedgender football? 
Koninklijke Nederlandse Voetbalbond,"16,924,000",27,8,"161,902","7,422",23,YES,YES
Federation Caledonienne de Football,"263,000",,91,"2,950",240,120,YES,YES
New Zealand Football,"4,528,000",7,19,"30,000","20,000",700,YES,YES
Federacion Nicaraguense de Futbol,"6,082,000",5,121,"8,629",7,,YES,YES
Federation Nigerienne de Football,"19,899,000",,,770,309,315,YES,NO
Nigeria Football Federation,"182,201,000",133,38,"4,608",103,746,NO,NO
Irish Football Association,"1,851,000",,59,"24,613",964,64,YES,YES
Norges Fotballforbund,"5,210,000",2,12,"107,579","24,865","3,244",YES,YES
Oman Football Association,"4,636,000",139,,600,"4,200",330,YES,YES
Pakistan Football Association,"4,636,000",139,,1300,360,30,YES,NO
Palestinian Football Association,"4,668,000",111,,700,660,14,YES,NO
Federacion Panamena de Futbol,"3,929,000",45,56,344,"1,526",400,YES,NO
Papua New Guinea Football Association,"7,619,000",,50,"9,000",50,60,NO,YES
Asociacion Paraguaya de Futbol,"6,639,000",104,48,"14,508",650,357,YES,YES
Federacion Peruana de Futbol,"31,376,000",52,65,"17,159","1,731","3,000",YES,NO
Philippine Football Federation,"100,699,000",8,74,"1,700","1,437",843,NO,YES
Polish Football Association,"38,611,000",42,28,"28,335","15,233",167,NO,YES
Federacao Portuguesa de Futebol,"10,349,000",37,30,"13,951","14,756","4,376",YES,YES
Federacion Puertorriquena de Futbol ,"3,683,000",,105,"1,315",179,69,YES,YES
Qatar Football Association,"2,639,000",,,"2,200","1,728",200,NO,NO
The Football Association of Ireland,"4,688,000",,31,"24,706","2,668","1,357",YES,YES
Romanian Football Federation,"19,511,000",63,41,"63,076","2,247","3,386",YES,YES
Football Union of Russia,"143,456,000",75,25,"29,149","2,932",441,NO,YES
Federation Rwandaise de Football Association,"11,609,000",6,140,"5,000","1,045",190,YES,NO
Football Federation Samoa,"193,000",,114,844,5,33,NO,YES
Federazione Sammarinese Giuoco,"31,000",,,124,177,40,YES,YES
Saudi Arabian Football Federation,"32,940,000",,,,"1,487",380,NO,NO
The Scottish Football Association,"5,373,000",,20,"53,773","2,385","2,399",NO,YES
Federation Senegalaise de Football,"15,129,000",94,88,"1,200",55,45,YES,NO
Football Association of Serbia,"8,850,000",38,43,"2,464","2,569","1,830",NO,YES
Seychelles Football Federation,"96,000",,,315,11,8,YES,YES
Football Association of Singapore,"5,603,000",67,120,"5,000",250,250,YES,YES
Slovensky futbalovy zvaz,"5,426,000",83,46,"9,846","5,768","1,811",YES,YES
Football Association of Slovenia,"2,067,000",11,52,"2,696","1,306",908,YES,YES
Solomon Islands Football Federation,"635,000",,,"20,000",,60,YES,YES
Somali Football Federation,"14,740,000",,,,103,92,YES,YES
South African Football Association,"54,490,000",19,49,"450,000","4,633",440,YES,YES
South Sudan Football Association,"12,339,000",,,729,789,142,YES,NO
Real Federacion Espanola de Futbol,"46,121,000",29,13,"4,900",426,800,NO,YES
Football Federation of Sri Lanka,"20,715,000",100,134,"58,372","11,142","9,751",NO,NO
St. Kitts and Nevis Football,"55,000",,130,340,20,60,YES,YES
Saint Lucia Football Association,"184,000",,129,950,112,40,YES,YES
Saint Vincent and the Grenadines Football Federation,"109,000",,,480,50,1,NO,YES
Sudan Football Association,"40,530,000",,,600,"3,100","3,000",YES,NO
Surinaamse Voetbal Bond,"542,000",79,119,214,368,60,YES,NO
Svenska Fotbollforbundet,"9,779,000",3,9,"198,017","5,148","4,192",YES,YES
Schweizerischer Fussballverband,"8,298,000",20,18,"64,976","33,746","3,707",YES,YES
Syrian Football Association,"18,270,000",,,300,,,YES,NO
Federation Tahitienne de Football,"282,000",,96,"1,100",164,365,YES,YES
Tajikistan Football Federation,"8,481,000",123,126,385,100,50,YES,NO
Tanzania Football Federation,"53,470,000",71,133,"1,500",200,120,NO,NO
The Football Association of Thailand,"67,959,000",73,34,"25,000","2,500",17,YES,YES
Federacao Futebol TimorLeste,"1,296,000",124,,290,51,128,YES,NO
Federation Togolaise de Football,"7,304,000",134,,"3,000",351,854,YES,NO
Tonga Football Association,"106,000",,87,"1,500",135,199,YES,YES
Trinidad and Tobago Football Association,"1,360,000",,60,"1,500",600,350,NO,NO
Federation Tunisienne de Football,"11,253,000",119,,967,920,"1,450",YES,NO
Turkiye Futbol Federasyonu,"78,665,000",130,61,"98,560","12,679","7,913",YES,YES
Football Federation of Turkmenistan,"5,373,000",,,300,150,50,NO,NO
Turks and Caicos Islands Football,"34,000",,,150,9,"6,000",YES,YES
Federation of Uganda Football Association,"39,032,000",43,144,"5,366","3,699","1,225",YES,NO
Football Federation of Ukraine,"44,823,000",65,24,"8,751","5,388",597,NO,YES
United Arab Emirates Football Association,"9,156,000",121,98,"2,700","1,400",350,YES,NO
Asociacion Uruguaya de Futbol,"3,431,000",56,74,"6,300","1,400",168,YES,YES
U.S.V.I. Soccer Federation,"106,000",,143,110,5,,YES,YES
United States Soccer Federation,"321,773,000",51,1,"9,500,000","172,070","139,246",YES,YES
Uzbekistan Football Association,"29,893,000",,42,600,40,19,YES,NO
Vanuatu Football Federation,"276,244",,108,"1,808",3,25,NO,YES
Federacion Venezolana de Futbol,"31,108,000",64,58,"24,427","3,020","1,132",YES,YES
Vietnam Football Federation,"93,447,000",77,35,700,"1,000",300,YES,NO
The Football Association of Wales,"3,099,000",,33,"14,491","3,106","1,174",YES,YES
Yemen Football Association,"28,250,000",149,,200,200,250,NO,NO
Football Association of Zambia,"16,211,000",,116,"5,000",196,820,YES,NO
Zimbabwe Football Association,"15,602,000",47,102,"4,000",206,800,YES,NO
