HUNGARY,EUROPE OTP BANK LIGA,,"£70,816","€80,022","US$93,180"
NORWAY,EUROPE ELITESERIEN,,"£65,991","€74,570","US$86,831"
CZECH REPUBLIC,EUROPE FIRST LEAGUE,,"£54,669","€61,776","US$71,933"
CYPRUS,EUROPE FIRST DIVISION,,"£52,701","€59,552","US$69,344"
SOUTH AFRICA,AFRICA PREMIER DIVISION,,"£47,909","€54,137","US$63,039"
AZERBAIJAN,EUROPE PREMIER LEAGUE,,"£46,582","€52,638","US$61,293"
BULGARIA,EUROPE FIRST PROFESSIONAL LEAGUE,,"£40,759","€46,058","US$53,631"
SERBIA,EUROPE SUPERLIGA,,"£32,079","€36,249","US$42,210"
SLOVAKIA,EUROPE SUPER LIGA,,"£28,467","€32,168","US$37,457"
BELARUS,EUROPE FIRST LEAGUE,,"£27,955","€31,589","US$36,783"
SLOVENIA,EUROPE PRVALIGA,,"£25,474","€28,786","US$33,519"
FINLAND,EUROPE VEIKKAUSLIIGA,,"£17,522","€19,800","US$23,055"
LIECHTENSTEIN,EUROPE NO LEAGUE,,"£14,557","€16,449","US$19,154"
IRELAND,EUROPE LEAGUE OF IRELAND,,"£13,209","€14,926","US$17,380"
ICELAND,EUROPE ÚRVALSDEILD KARLA,,"£12,077","€13,647","US$15,891"
GEORGIA,EUROPE EROVNULI LIGA,,"£11,861","€13,403","US$15,607"
LUXEMBOURG,EUROPE NATIONAL DIVISION,,"£10,244","€11,576","US$13,479"
COUNTRY CONTINENT,TOP DIVISION AVG BASIC ANNUAL,,,AVG BASIC ANNUAL,AVG BASIC ANNUAL
"",,FIRST TEAM PAY (£),,FIRST TEAM PAY (€),FIRST TEAM PAY ($)
ALBANIA,EUROPE FIRST DIVISION,,"£10,028","€11,332","US$13,195"
BOSNIA & HERZ.,EUROPE PREMIER LEAGUE,,"£9,435","€10,662","US$12,415"
MACEDONIA,EUROPE FIRST FOOTBALL LEAGUE,,"£9,165","€10,356","US$12,059"
MALTA,EUROPE FIRST DIVISION,,"£9,058","€10,236","US$11,919"
LITHUANIA,EUROPE A LYGA,,"£8,626","€9,747","US$11,350"
LATVIA,EUROPE VIRSLĪGA,,"£6,308","€7,128","US$8,300"
MONTENEGRO,EUROPE FIRST LEAGUE,,"£5,984","€6,762","US$7,874"
N IRELAND,EUROPE NI FOOTBALL LEAGUE,,"£5,742","€6,488","US$7,555"
FAROES,EUROPE PREMIER LEAGUE,,"£5,661","€6,397","US$7,449"
ESTONIA,EUROPE MEISTRILIIGA,,"£5,499","€6,214","US$7,236"
GIBRALTAR,EUROPE PREMIER DIVISION,,"£5,391","€6,092","US$7,093"
NIGERIA,AFRICA PFL,,"£5,000","€5,650","US$6,579"
ANDORRA,EUROPE PRIMERA DIVISIÓ,,"£4,960","€5,605","US$6,526"
WALES,EUROPE WELSH PREMIER LEAGUE,,"£4,798","€5,422","US$6,313"
MOLDOVA,EUROPE NATIONAL DIVISION,,"£4,124","€4,660","US$5,426"
ARMENIA,EUROPE PREMIER LEAGUE,,"£2,318","€2,619","US$3,050"
SAN MARINO,EUROPE CHAMPIONSHIP,,"£2,237","€2,528","US$2,943"
